Start Date,End Date,VIN,Repair Description,Repair Cost,Repair Status,Vendor Name,Vendor Phone,Vendor Street Address,Vendor City,Vendor State,Vendor ZIP,Recall NTHSA,Recall Description,Manufacturer
2/25/19,3/29/19,7Y1EAHONCCS732936,replace liftgate window; refurbish power steering; ,1430.67,in progress,Cancity,4137272403,445 10-street,Dallas,TX,44164,,,
2/25/19,3/9/19,2TN1NJUXESG344969,reduce carbon footprint; replace stabilizer bar; ,444.9,completed,Zencorporation,1034092507,6712 7-street,Jacksonville,FL,73886,09V277000, SUBARU IS RECALLING 15 761 MY 2005-2006 BAJA VEHICLES. CRACKS MAY DEVELOP IN THE FUEL HOSE CONN,Subaru
2/25/19,3/1/19,XK51E6IAGWW949280,reduce fuel consumption; adjust block heater; ,57.06,completed,Zencorporation,1034092507,6712 7-street,Jacksonville,FL,73886,05V353000,CERTAIN SPORT UTILITY VEHICLES MAY EXPERIENCE A FUEL LEAK FROM FUEL TUBES NEAR THE FUEL TANK DUE,Kia
2/25/19,2/25/19,ZS1SXM3GTO8957023,replace liftgate window; adjust traction control system; ,29.08,pending,Zencorporation,1034092507,6712 7-street,Jacksonville,FL,73886,,,
2/25/19,2/27/19,2KANK83IC2A444270,change purge valve; add knee airbags; ,41.57,completed,Zoomit,8570724614,7392 11-street,Norfolk,NC,72802,,,
2/25/19,3/2/19,H0SVSC0X1W0660350,repair seatbelt force limiters; change coolant; ,237.9,in progress,Zoomit,8570724614,7392 11-street,Norfolk,NC,72802,,,
2/25/19,2/26/19,SX73Y7QKKQF628146,adjust accelerator pedal linkage; ,17.42,completed,Zoomit,8570724614,7392 11-street,Norfolk,NC,72802,,,
2/25/19,3/2/19,XLHSC830B4B709486,replace crankcase ventilation filter; adjust climate control; ,268.39,in progress,Zoomit,8570724614,7392 11-street,Norfolk,NC,72802,,,
2/25/19,2/26/19,VP0U4FNOL1Q272112,replace crankcase ventilation filter; install intelligent alternator; ,66.74,pending,Zumgoity,3587340254,5992 11-street,Stockton,OH,46220,,,
2/26/19,2/26/19,EFUWNBMO3TM316916,adjust ignition timing; install active pedestrian protection system; ,20.85,completed,Fasehatice,0158952124,2139 14-street,Chandler,TX,62809,,,
2/26/19,2/27/19,IB3FDW7VPTE357125,adjust climate control; adjust low fuel warning indicator; ,37.72,completed,Rundofase,6976505267,175 12-street,Seattle,WA,08511,,,
2/26/19,4/19/19,1D377TZAWSW801985,configure universal remote control; adjust adaptive cruise control; ,31.81,completed,Zoomit,8570724614,7392 11-street,Norfolk,NC,72802,,,
2/26/19,2/26/19,426W8PU85BH593514,improve cylinder configuration; improve engine performance; ,24.15,pending,Zoomit,8570724614,7392 11-street,Norfolk,NC,72802,,,
2/26/19,3/4/19,K23GQ1HYKID336715,change timing belt; ,154.42,completed,Zoomit,8570724614,7392 11-street,Norfolk,NC,72802,,,
2/27/19,3/5/19,1RQR2NON75E373495,change steering rack; fix external temperature display; ,65.17,pending,Rundofase,6976505267,175 12-street,Seattle,WA,08511,,,
2/27/19,3/2/19,7FT34LPXEKD855738,adjust retractable mirrors; add knee airbags; ,55.79,completed,Rundofase,6976505267,175 12-street,Seattle,WA,08511,09V357000, DAIMLER TRUCKS IS RECALLING CERTAIN MODEL YEAR 2005 THROUGH 2010 HEAVY DUTY TRUCKS MANUFACTURED,Freightliner
2/27/19,4/4/19,CHA3G8GE21K992177,adjust climate control; repair cooled seats; ,2242.78,pending,Rundofase,6976505267,175 12-street,Seattle,WA,08511,,,
2/27/19,2/28/19,VP0U4FNOL1Q272112,change speaker configuration; attach spoiler; ,66.74,completed,Toughzap,4602643035,6477 19-street,Bakersfield,FL,28366,08V016000, CERTAIN MOTOR HOME CHASSIS BUILT ON FREIGHTLINER CHASSIS AND EQUIPPED WITH ZF MODEL 8018 STEERI,Alfa
2/27/19,3/13/19,XUV6JR4Q8SX652578,refurbish power steering; set up auto-delay headlights; ,131.65,pending,Toughzap,4602643035,6477 19-street,Bakersfield,FL,28366,,,
2/27/19,3/9/19,L2G40AKW0DV261314,replace diverter valve; change memory settings of the onboard computer; ,117.85,completed,Zumgoity,3587340254,5992 11-street,Stockton,OH,46220,,,
2/27/19,3/4/19,XG2F8AZ3DKK768039,repair seatbelt force limiters; ,52.51,completed,Zumgoity,3587340254,5992 11-street,Stockton,OH,46220,,,
2/28/19,3/8/19,E64AFHYM7CM667399,fix cylinder head bolts; attach seat extension; ,125.94,completed,Fasehatice,0158952124,2139 14-street,Chandler,TX,62809,,,
2/28/19,2/28/19,X7PFFGNBSQI524327,change memory settings of the onboard computer; make polarization coating; ,136.73,in progress,Toughzap,4602643035,6477 19-street,Bakersfield,FL,28366,,,
2/28/19,3/1/19,SX73Y7QKKQF628146,prevent fuel pump shutoff; fix broken tow hooks; ,17.42,in progress,Zumgoity,3587340254,5992 11-street,Stockton,OH,46220,,,
3/1/19,3/2/19,LAW66TO51NY340329,fix power activated release; ,14.56,in progress,Rundofase,6976505267,175 12-street,Seattle,WA,08511,18V042000, Honda (American Honda Motor Co.) is recalling certain 2010-2013 Acura TSX  ZDX  Honda Accord Cr,Honda
3/2/19,3/2/19,6HKQMAEQ5PA690783,change steering rack; make polarization coating; ,44.29,in progress,Fasehatice,0158952124,2139 14-street,Chandler,TX,62809,,,
3/2/19,3/2/19,IB3FDW7VPTE357125,fix air filter restriction indicator; add knee airbags; ,18.86,in progress,Rundofase,6976505267,175 12-street,Seattle,WA,08511,18V188000, Ferrari North America  Inc. (Ferrari) is recalling certain 2009-2011 Ferrari California  and 20,Ferrari
3/2/19,3/2/19,SX73Y7QKKQF628146,change air conditioner refrigerant; adjust retractable mirrors; ,17.42,in progress,Rundofase,6976505267,175 12-street,Seattle,WA,08511,,,
3/3/19,3/6/19,MW6HGX7M6O4186962,replace ace filter; replace serpentine belt; ,34.26,pending,Fasehatice,0158952124,2139 14-street,Chandler,TX,62809,,,
3/3/19,3/6/19,XOBOW6AU18A917853,change pcv filter/pcv valve; upgrade navigation system; ,67.54,pending,Fasehatice,0158952124,2139 14-street,Chandler,TX,62809,,,
3/3/19,3/5/19,VP0U4FNOL1Q272112,fix steering damper; make polarization coating; ,66.74,completed,Newex,3321611463,6781 14-street,Durham,WI,50395,05V248000, ON CERTAIN FIFTH WHEEL TRAILERS  THE EMERGENCY/BREAKAWAY BRAKE SYSTEM WIRING WAS CHANGED. ,Alfa
3/3/19,3/4/19,IB3FDW7VPTE357125,fix rear hvac; install smoked glass; ,18.86,pending,Zumgoity,3587340254,5992 11-street,Stockton,OH,46220,,,
3/4/19,3/4/19,XLHSC830B4B709486,change timing belt; change oil filter; ,53.68,completed,Cancity,4137272403,445 10-street,Dallas,TX,44164,,,
3/4/19,3/5/19,H0SVSC0X1W0660350,add knee airbags; install dusk-sensing headlights; ,158.6,pending,Fasehatice,0158952124,2139 14-street,Chandler,TX,62809,,,
3/4/19,3/11/19,VSGK3RYW2TC911641,adjust traction control system; replace tail lights; ,45.34,in progress,Zencorporation,1034092507,6712 7-street,Jacksonville,FL,73886,02V238000, CERTAIN HEAVY DUTY CLASS 8 TRUCKS FAIL TO COMPLY WITH THE REQUIREMENTS OF FEDERAL MOTOR VEHICLE,Volvo
3/4/19,3/20/19,6HKQMAEQ5PA690783,install turbocharger; improve cylinder configuration; ,265.73,completed,Zumgoity,3587340254,5992 11-street,Stockton,OH,46220,,,
3/4/19,3/5/19,7FT34LPXEKD855738,replace timing belt tensioner; fix external temperature display; ,27.89,pending,Zumgoity,3587340254,5992 11-street,Stockton,OH,46220,,,
3/4/19,3/28/19,EBZZN84J0L1163524,replace water pump; ,1287.98,completed,Zumgoity,3587340254,5992 11-street,Stockton,OH,46220,,,
3/5/19,3/19/19,6D300ABH65P725391,adjust climate control; install roof spoiler; ,459.95,completed,Fasehatice,0158952124,2139 14-street,Chandler,TX,62809,,,
3/5/19,3/5/19,OOXPL1JMKRX336822,fix cylinder head bolts; adjust reverse tilt mirrors; ,37.89,pending,Fasehatice,0158952124,2139 14-street,Chandler,TX,62809,,,
3/5/19,3/5/19,XLHSC830B4B709486,adjust traction control system; install separate rear audio; ,53.68,in progress,Zoomit,8570724614,7392 11-street,Norfolk,NC,72802,16V836000, Volvo Bus Corporation (Volvo Bus) is recalling certain model year 2008-2017 9700 buses manufact,Volvo
3/5/19,3/5/19,LAW66TO51NY340329,replace serpentine belt; install separate rear audio; ,14.56,in progress,Zumgoity,3587340254,5992 11-street,Stockton,OH,46220,,,
3/6/19,3/9/19,X7PFFGNBSQI524327,adjust seat belts tension; ,136.73,in progress,Cancity,4137272403,445 10-street,Dallas,TX,44164,,,
3/6/19,4/25/19,1WU1KQALZ75403546,attach seat extension; replace radiator core & ac condenser; ,216.42,pending,Zencorporation,1034092507,6712 7-street,Jacksonville,FL,73886,,,
